答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,状态
237,123.151.176.198,,,,,63,2015-03-22 16:07:16,2015-03-22 16:09:21,正常完成
238,123.151.42.49,,,,,62,2015-03-22 16:09:22,2015-03-22 16:10:53,正常完成
239,60.28.159.182,,,,,133,2015-03-22 16:10:06,2015-03-22 16:10:55,正常完成
240,61.163.226.46,,,,,174,2015-03-22 16:07:47,2015-03-22 16:11:07,正常完成
241,124.128.244.231,,,,,140,2015-03-22 16:12:48,2015-03-22 16:14:40,正常完成
242,111.161.57.49,,,,,56,2015-03-22 16:16:59,2015-03-22 16:19:22,正常完成
243,101.226.125.119,,,,,43,2015-03-22 16:17:06,2015-03-22 16:19:37,正常完成
244,183.60.52.227,,,,,173,2015-03-22 16:17:25,2015-03-22 16:19:42,正常完成
245,110.88.56.250,,,,,169,2015-03-22 16:21:43,2015-03-22 16:22:33,正常完成
246,101.226.61.193,,,,,74,2015-03-22 16:22:04,2015-03-22 16:23:54,正常完成
247,220.249.66.76,,,,,164,2015-03-22 16:25:14,2015-03-22 16:26:31,正常完成
248,183.60.52.5,,,,,164,2015-03-22 16:25:53,2015-03-22 16:27:06,正常完成
249,117.27.134.27,,,,,138,2015-03-22 16:26:37,2015-03-22 16:28:45,正常完成
250,114.253.78.187,,,,,126,2015-03-22 16:30:46,2015-03-22 16:32:45,正常完成
251,101.226.125.121,,,,,151,2015-03-22 16:30:42,2015-03-22 16:33:35,正常完成
252,223.104.6.7,,,,,67,2015-03-22 16:32:59,2015-03-22 16:35:13,正常完成
253,223.104.3.153,,,,,69,2015-03-22 16:33:51,2015-03-22 16:35:26,正常完成
254,223.104.6.7,,,,,47,2015-03-22 16:35:36,2015-03-22 16:36:15,正常完成
255,113.108.11.50,,,,,73,2015-03-22 16:34:22,2015-03-22 16:36:42,正常完成
256,115.24.196.26,,,,,162,2015-03-22 16:39:24,2015-03-22 16:42:06,正常完成
257,218.104.225.9,,,,,53,2015-03-22 16:41:20,2015-03-22 16:42:40,正常完成
258,123.151.176.198,,,,,50,2015-03-22 16:40:49,2015-03-22 16:42:44,正常完成
259,112.224.19.187,,,,,171,2015-03-22 16:40:55,2015-03-22 16:43:09,正常完成
260,183.61.14.210,,,,,163,2015-03-22 16:41:57,2015-03-22 16:43:30,正常完成
261,211.140.4.150,,,,,75,2015-03-22 16:43:13,2015-03-22 16:44:51,正常完成
262,101.226.125.113,,,,,181,2015-03-22 16:41:53,2015-03-22 16:45:10,正常完成
263,223.81.192.34,,,,,67,2015-03-22 16:43:45,2015-03-22 16:45:59,正常完成
264,117.136.75.76,,,,,160,2015-03-22 16:48:19,2015-03-22 16:50:03,正常完成
265,123.151.42.46,,,,,43,2015-03-22 16:49:22,2015-03-22 16:50:59,正常完成
266,119.4.252.133,,,,,39,2015-03-22 16:50:34,2015-03-22 16:52:07,正常完成
267,223.104.2.188,,,,,48,2015-03-22 16:18:10,2015-03-22 16:54:06,正常完成
268,123.151.12.154,,,,,63,2015-03-22 16:53:59,2015-03-22 16:56:43,正常完成
269,123.151.42.57,,,,,44,2015-03-22 17:00:39,2015-03-22 17:02:03,正常完成
270,123.151.42.48,,,,,129,2015-03-22 17:04:01,2015-03-22 17:05:35,正常完成
271,123.151.64.143,,,,,140,2015-03-22 17:03:59,2015-03-22 17:06:38,正常完成
272,180.153.81.159,,,,,139,2015-03-22 17:07:27,2015-03-22 17:09:57,正常完成
273,112.224.67.165,,,,,126,2015-03-22 17:07:43,2015-03-22 17:12:12,正常完成
274,120.86.213.234,,,,,117,2015-03-22 17:11:05,2015-03-22 17:13:13,正常完成
275,112.224.69.26,,,,,117,2015-03-22 17:15:27,2015-03-22 17:17:15,正常完成
276,120.71.155.126,,,,,55,2015-03-22 17:20:01,2015-03-22 17:22:16,正常完成
277,101.226.125.15,,,,,53,2015-03-22 17:19:26,2015-03-22 17:22:18,正常完成
278,211.137.199.4,,,,,162,2015-03-22 17:23:40,2015-03-22 17:26:28,正常完成
279,183.60.52.5,,,,,29,2015-03-22 17:27:17,2015-03-22 17:28:47,正常完成
280,113.108.11.50,,,,,161,2015-03-22 17:28:47,2015-03-22 17:30:16,正常完成
281,123.151.139.155,,,,,168,2015-03-22 17:29:19,2015-03-22 17:31:29,正常完成
282,117.136.54.29,,,,,155,2015-03-22 17:29:56,2015-03-22 17:32:15,正常完成
283,151.76.0.150,,,,,134,2015-03-22 17:31:41,2015-03-22 17:34:21,正常完成
284,39.68.60.236,,,,,77,2015-03-22 17:36:00,2015-03-22 17:38:05,正常完成
285,183.232.118.15,,,,,74,2015-03-22 17:38:59,2015-03-22 17:40:48,正常完成
286,118.113.191.26,,,,,54,2015-03-22 17:44:17,2015-03-22 17:46:05,正常完成
287,124.129.193.205,,,,,32,2015-03-22 17:46:10,2015-03-22 17:49:06,正常完成
288,101.226.125.115,,,,,61,2015-03-22 17:51:01,2015-03-22 17:53:09,正常完成
289,117.158.132.68,,,,,148,2015-03-22 17:51:36,2015-03-22 17:54:46,正常完成
290,60.28.159.185,,,,,66,2015-03-22 17:57:21,2015-03-22 17:59:35,正常完成
291,111.31.242.223,,,,,167,2015-03-22 17:59:19,2015-03-22 18:01:20,正常完成
292,60.28.159.165,,,,,162,2015-03-22 18:01:16,2015-03-22 18:02:28,正常完成
